target,images,lat,lon,admin1,admin2
Miami_FL,94,25.776614,-80.165893,Miami,FL
Munich_Germany,94,48.126565,11.559898,Munich,Germany
Denver_Colorado,93,39.742691,-104.996488,Denver,Colorado
St_Louis_MO,88,38.62321,-90.186959,St Louis,MO
Cincinnati_OH,85,39.098034,-84.51136,Cincinnati,OH
Algiers_Algeria,84,36.770785,3.054276,Algiers,Algeria
Bangkok_Thailand,81,13.697423,100.579843,Bangkok,Thailand
Mountain_View_CA,79,37.413197,-122.081458,Mountain View,CA
Barcelona_Spain,77,41.385234,2.179632,Barcelona,Spain
Los_Angeles_CA,72,34.105949,-118.231221,Los Angeles,CA
Seoul_Korea,70,37.543327,126.989576,Seoul,Korea
Yangon_Myanmar,70,16.787819,96.150007,Yangon,Myanmar
Beijing_China,67,39.9375346,115.837023,Beijing,China
Nakhon_Sawan,64,15.695,100.1228,Nakhon,Sawan
Amsterdam_Netherlands,60,52.35356,4.88988,Amsterdam,Netherlands
Athens_Greece,60,37.95051,23.610848,Athens,Greece
Baton_Rouge,60,30.427376,-91.188976,Baton,Rouge
Aleppo_Syria,55,36.205983,37.145496,Aleppo,Syria
Tarawa_Kiribati,55,1.373766,172.900348,Tarawa,Kiribati
Cairo_Egypt,54,29.976176,31.132249,Cairo,Egypt
San_Diego_CA,53,32.743137,-117.203601,San Diego,CA
Tokyo_Japan,53,35.662308,139.914391,Tokyo,Japan
Singapore_Singapore,52,1.260756,103.885993,Singapore,Singapore
Shanghai_China,47,31.358233,121.646626,Shanghai,China
Yarmouk_Syria,44,33.586337,36.399111,Yarmouk,Syria
New York_United States,31,40.726574,-73.994126,New York,United States
New_York_United States,25,40.726574,-73.994126,New York,United States
Taiz_Yemen,20,13.65942583,43.99370183,Taiz,Yemen
Liaoyang_Liaoning_China,19,41.268062,123.233542,Liaoyang Liaoning,China
Dallas_TX,13,32.775237,-96.797644,Dallas,TX
Rotterdam_Netherlands,13,51.971108,3.98242,Rotterdam,Netherlands
Iquitos_Peru,12,-3.725158,-73.243519,Iquitos,Peru
Prague_Czech_Republic,8,50.078148,14.442224,Prague Czech,Republic
Wood_Wharf,6,51.502928,-0.01246,Wood,Wharf
Jakarata_Indonesia,5,-6.1380046,106.8034494,Jakarata,Indonesia
Rio_De_Janeiro,5,-22.943409,-43.184291,Rio De,Janeiro
Auckland_New Zealand,4,-36.858266,174.764205,Auckland,New Zealand
Willbros_HCA,4,35.278324,-89.734644,Willbros,HCA
Raleigh_NC,4,35.854322,-78.521675,Raleigh,NC
Hong_Kong,2,22.28847,114.172541,Hong,Kong
Illkirch_France,2,48.520916,7.712023,Illkirch,France
Austin_TX,1,30.51734,-97.71361,Austin,TX
Boston_MA,1,42.340836,-71.018347,Boston,MA
Iran_Tehran,1,35.713387,51.180716,Iran,Tehran
Strasbourg_France,1,48.590646,7.754505,Strasbourg,France
